division,pop_2022,area_km2,div_density,suspected_incidence
Barisal,8110723.0,10082.988407368794,804.3967395690514,107.43801754788075
Chittagong,29898241.0,31120.0167114981,960.7398761117412,51.51473626826407
Dhaka,34991374.0,20397.962165050692,1715.4347927928436,123.61618037634075
Khulna,15627710.0,20860.112882708716,749.1670868643314,43.52525098046995
Mymensingh,11809762.0,10556.526759749117,1118.716626099915,34.55615786329987
Rajshahi,19894849.0,18285.457835437566,1088.0148136867213,40.241572077274874
Rangpur,17363512.0,16301.010694903602,1065.1800876020884,10.303215156012216
Sylhet,12176958.0,12370.454260562035,984.3581927966125,38.93419029613143
